0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
میزبان ╲ میهمان,آ.اراک,باد,برن,فجر,گل,ایر,خونه,ماش,ملو,مس,مس.ر,نفت م.س,نسج,اکس,راه,صبا,ماه,شهر
آلومینیوم اراک,,۰–۰,۱–۰,۰–۰,۰–۱,۱–۲,۰–۱,۲–۲,۰–۰,۰–۲,۰–۰,۱–۱,۰–۲,۰–۲,۴–۰,۰–۰,۲–۱,۰–۰
بادران تهران,۳–۱,,۳–۱,۰–۰,۱–۱,۳–۱,۰–۰,۲–۰,۱–۱,۱–۰,۱–۰,۱–۰,۱–۰,۲–۲,۱–۰,۷–۰,۱–۲,۱–۱
برق نوین,۰–۱,۲–۰,,۱–۱,۴–۰,۱–۱,۲–۲,۱–۰,۰–۰,۰–۱,۱–۱,۰–۰,۰–۱,۱–۰,۱–۰,۲–۱,۳–۴,۱–۰
فجر سپاسی,۳–۰,۰–۱,۲–۰,,۱–۲,۱–۰,۱–۱,۳–۰,۲–۱,۰–۱,۱–۰,۱–۰,۰–۰,۲–۰,۱–۰,۶–۱,۲–۱,۳–۱
گل‌گهر,۱–۱,۰–۰,۱–۲,۱–۱,,۱–۲,۰–۰,۲–۱,۰–۰,۵–۱,۰–۰,۲–۱,۳–۱,۱–۱,۱–۰,۵–۱,۳–۲,۵–۲
ایران جوان,۲–۲,۰–۳,۱–۱,۰–۱,۰–۱,,۰–۲,۰–۲,۱–۱,۲–۰,۲–۱,۰–۱,۰–۱,۱–۱,۳–۲,۰–۰,۱–۰,۲–۱
خونه به خونه,۰–۰,۱–۰,۲–۱,۱–۲,۰–۰,۳–۱,,۰–۰,۰–۰,۲–۱,۱–۱,۱–۰,۲–۱,۱–۰,۱–۰,۴–۰,۳–۰,۱–۰
ماشین‌سازی,۱–۲,۲–۱,۰–۱,۳–۰,۰–۰,۱–۱,۰–۰,,۱–۲,۰–۱,۱–۱,۰–۰,۱–۰,۲–۲,۱–۰,۰–۰,۲–۱,۱–۲
ملوان,۱–۰,۱–۱,۱–۰,۲–۱,۱–۱,۰–۰,۱–۰,۲–۰,,۳–۲,۱–۲,۱–۱,۳–۰,۱–۰,۱–۰,۲–۲,۲–۱,۳–۰
مس کرمان,۰–۰,۰–۰,۰–۰,۰–۱,۳–۱,۲–۱,۲–۲,۱–۰,۱–۱,,۲–۱,۱–۲,۱–۲,۱–۰,۲–۱,۳–۱,۱–۰,۰–۲
مس رفسنجان,۲–۲,۲–۳,۱–۲,۲–۱,۱–۰,۲–۱,۱–۰,۰–۰,۰–۰,۱–۰,,۱–۱,۰–۰,۰–۰,۱–۰,۷–۰,۱–۰,۰–۰
نفت مسجدسلیمان,۲–۲,۳–۳,۳–۰,۱–۰,۲–۰,۳–۰,۰–۱,۳–۰,۲–۲,۲–۱,۲–۲,,۰–۰,۱–۰,۲–۱,۲–۱,۱–۱,۲–۱
نساجی مازندران,۱–۰,۴–۱,۱–۱,۲–۰,۰–۱,۱–۰,۱–۰,۱–۰,۲–۱,۱–۰,۳–۱,۰–۱,,۲–۲,۲–۱,۱–۰,۱–۰,۲–۰
اکسین البرز,۲–۰,۲–۲,۱–۰,۱–۰,۲–۲,۳–۲,۰–۰,۰–۰,۱–۰,۱–۱,۱–۱,۰–۱,۱–۰,,۲–۰,۸–۰,۱–۰,۱–۰
راه‌آهن,۱–۲,۰–۴,۰–۰,۱–۷,۰–۴,۱–۱,۰–۳,۰–۰,۱–۱,۰–۳,۱–۰,۰–۱,۰–۶,۱–۲,,۰–۱,۰–۴,۱–۲
صبای قم,۱–۴,۲–۳,۱–۱,۰–۱,۲–۲,۳–۴,۱–۲,۰–۴,۱–۱,۰–۲,۰–۲,۰–۱,۱–۶,۰–۱,۰–۱,,۱–۱,۱–۱
شهرداری ماهشهر,۱–۰,۱–۱,۱–۰,۰–۰,۱–۰,۰–۱,۱–۲,۱–۱,۲–۱,۰–۰,۱–۱,۱–۳,۲–۲,۱–۰,۳–۱,۳–۱,,۴–۲
شهرداری تبریز,۰–۰,۲–۲,۲–۰,۱–۳,۱–۰,۲–۱,۰–۰,۰–۱,۰–۱,۰–۱,۱–۲,۰–۱,۲–۲,۱–۰,۴–۱,۳–۱,۲–۱,
