رتبه,تیم,بازی,برد,مساوی,باخت,گل زده,گل خورده,تفاضل گل,امتیاز,توضیحات
1,راه‌آهن,22,13,5,4,43,21,22,44,صعود به دور دوم
2,شهید قندی یزد,22,12,5,5,26,13,13,41,صعود به دور دوم
3,پاسارگاد تهران,22,11,6,5,41,26,15,39,
4,برق تهران,22,10,8,4,32,25,7,38,
5,مس کرمان,22,9,8,5,23,16,7,35,
6,مرصاد شیراز,22,8,10,4,26,20,6,34,
7,تراکتورسازی,22,7,9,6,26,25,1,30,
8,کارون شوشتر,22,6,9,7,26,27,-1,27,
9,شاهین بوشهر,22,5,6,11,28,36,-8,21,
10,دیهیم اهواز,22,5,5,12,21,34,-13,20,
11,اکباتان,22,3,5,14,19,40,-21,20,پلی آف
12,خیبر خرم‌آباد,22,3,4,15,24,52,-28,13,سقوط به لیگ دو
