Home \ Away,ALH,DAM,DEY,ETK,MST,MSR,NRO,PMS,SAA,SHB,SHM,SFZ,TAR,TRK
Aluminium Hormozgan,,1–1,0–0,2–1,3–0,2–2,1–1,2–1,1–0,1–0,1–1,1–1,1–1,0–0
Damash Lorestan,0–0,,2–1,2–1,3–0,1–0,0–0,2–1,0–0,2–0,1–1,1–1,1–1,0–1
Deyhim Ahvaz,1–1,0–1,,1–3,2–2,1–1,0–0,0–1,3–0,1–3,2–1,2–1,1–2,1–3
Etka Gorgan,1–1,1–2,4–0,,2–2,1–0,2–0,0–1,5–0,1–1,2–1,1–1,0–0,2–3
Machine Sazi,1–3,1–0,2–0,0–1,,3–1,0–3,1–4,2–2,0–0,1–1,1–0,2–1,0–1
Mes Rafsanjan,1–0,1–2,3–0,2–0,5–0,,1–0,4–2,4–0,4–0,2–0,2–0,1–0,0–0
Niroye Zamini,1–0,2–2,1–1,0–0,2–0,0–1,,1–1,1–0,1–1,1–0,1–1,0–1,1–0
Payam Mokhaberat,1–0,0–1,4–0,1–1,2–0,1–1,2–3,,3–0,0–3,2–1,1–2,1–0,0–1
Shahin Ahvaz,4–3,3–2,1–0,1–2,2–1,1–1,0–4,0–1,,0–1,1–0,0–3,0–1,1–4
Shahin Bushehr,2–0,1–0,2–0,3–2,2–1,1–0,2–1,1–0,1–1,,1–0,2–1,1–0,1–0
Shamoushak,0–0,0–0,2–1,1–1,1–0,0–1,1–0,1–0,2–0,0–1,,2–2,1–1,0–0
Shirin Faraz,0–1,1–0,1–2,1–1,1–0,0–0,2–0,1–1,1–1,1–0,2–1,,0–0,1–1
Tarbiat Yazd,1–0,0–0,4–0,2–1,3–0,3–3,0–1,2–3,1–1,1–1,1–0,2–2,,2–2
Tractor Sazi,2–0,1–0,5–0,1–0,4–1,2–1,1–0,1–0,3–1,2–0,1–2,1–3,1–1,
